Day,Market Participant,Tape A Shares,Tape B Shares,Tape C Shares,Total Shares,Tape A Notional,Tape B Notional,Tape C Notional,Total Notional,Tape A Trade Count,Tape B Trade Count,Tape C Trade Count,Total Trade Count
2022-06-29,BYX Equities (Y),72508821,30216678,53544867,156270366,1510447468.284600,1854786967.001999,1509094157.697700,4874328592.984299,650008,171180,531474,1352662
2022-06-29,BZX Equities (Z),212604318,131941144,224351985,568897447,7039978206.400101,9246390343.199599,8651036016.554400,24937404566.154100,2641990,964434,2304515,5910939
2022-06-28,NYSE American (A),14991898,23393881,14488940,52874719,519009210.768600,694858760.900700,503567250.973300,1717435222.642600,167871,93774,124789,386434
2022-06-28,NASDAQ BX (B),20867525,13812012,22293365,56972902,958179875.522800,967184632.533000,1195270663.491400,3120635171.547200,496513,103467,417166,1017146
2022-06-28,NYSE National (C),43791443,24280775,28964010,97036228,990222711.132600,1095971208.966000,851674628.781800,2937868548.880400,463180,147673,330461,941314
2022-06-28,FINRA / Nasdaq TRF Chicago (DB),6892886,2905767,13653769,23452422,296029409.968000,133155346.230600,726892811.674600,1156077567.873200,33211,10979,55085,99275
2022-06-28,FINRA / NYSE TRF (DN),237059796,117513879,588710672,943284347,7696720694.384702,5308906288.901803,15222496679.931502,28228123663.218007,1213291,292250,1562522,3068063
2022-06-28,FINRA / Nasdaq TRF Carteret (DQ),1362287678,749918513,2140645325,4252851516,55644170769.806782,45009982218.076688,70837528841.861703,171491681829.745173,6456843,2121649,6879904,15458396
2022-06-28,MIAX Pearl (H),40876459,25015999,34763250,100655708,882165494.603600,1310412198.976300,1392390634.392400,3584968327.972300,368933,115920,350881,835734
2022-06-28,EDGA Equities (J),66162831,29793900,65080106,161036837,2279765623.412200,1610203240.488400,2382232281.471300,6272201145.371900,979779,221653,804976,2006408
2022-06-28,EDGX Equities (K),211938961,92580033,322116477,626635471,7330726702.149702,5228492588.088999,10600172178.945100,23159391469.183801,1963238,535560,1994230,4493028
2022-06-28,LTSE (L),27772,31918,25659,85349,2267524.420000,2207862.540000,2690912.780000,7166299.740000,381,94,344,819
2022-06-28,NYSE Chicago (M),8580589,8313516,7831399,24725504,560578776.334100,903884468.295000,1027593178.942200,2492056423.571300,45204,3859,37292,86355
2022-06-28,NYSE (N),929264617,39641043,77824948,1046730608,41723085008.858294,2746668389.110499,2979663020.878000,47449416418.846793,4449816,197548,625956,5273320
2022-06-28,NYSE Arca (P),218789034,322583793,424667412,966040239,7726529619.779804,21236488099.761090,15621497993.606211,44584515713.147105,2172485,1400281,3303245,6876011
2022-06-28,NASDAQ (Q),487496713,197780136,1104407984,1789684833,20644725227.766602,13868147284.284704,54534839260.484110,89047711772.535416,6607333,1456280,8824363,16887976
2022-06-28,Members Exchange (U),170094406,75431705,179902240,425428351,4339421945.052399,4364899716.237600,5252920851.092501,13957242512.382500,1461374,474868,1356704,3292946
2022-06-28,Investors Exchange (V),147652765,30940436,117589260,296182461,7994189722.842000,2133928351.694200,6962365507.316002,17090483581.852202,2049790,202077,1563816,3815683
2022-06-28,NASDAQ PSX (X),24001857,28846928,29333936,82182721,584693966.287000,1454949769.285700,1089161897.751600,3128805633.324300,204522,128457,253652,586631
2022-06-28,BYX Equities (Y),62746974,32376471,51900399,147023844,1449133842.374000,2083488376.879501,1708856740.460400,5241478959.713901,625766,191840,540879,1358485
2022-06-28,BZX Equities (Z),216603079,144948458,209029337,570580874,7899806248.036301,10391650829.153104,9734271997.332099,28025729074.521504,2784310,1047790,2312184,6144284
2022-06-27,NYSE American (A),13576599,22115678,13408908,49101185,438369307.667000,583450182.958900,404529812.550900,1426349303.176800,157657,92375,120275,370307
2022-06-27,NASDAQ BX (B),21528390,11952039,20793864,54274293,954007508.715900,895342498.055100,1021002158.741800,2870352165.512800,471757,101574,397389,970720
2022-06-27,NYSE National (C),33610987,20052484,23777633,77441104,797276513.558800,860927297.292000,629261714.317600,2287465525.168400,376769,124001,273320,774090
2022-06-27,FINRA / Nasdaq TRF Chicago (DB),6651934,2452932,13416731,22521597,259930700.288900,156800121.799300,734285433.637600,1151016255.725800,31792,9783,56759,98334
2022-06-27,FINRA / NYSE TRF (DN),239701007,106774336,505024184,851499527,7401004411.484484,4937872182.632000,14128617679.470604,26467494273.587088,1294296,278531,1551552,3124379
2022-06-27,FINRA / Nasdaq TRF Carteret (DQ),1399178868,678534559,1970855128,4048568555,52830867193.638501,40059349125.926614,73668039473.391747,166558255792.956862,6622323,2226830,6625738,15474891
2022-06-27,MIAX Pearl (H),38239722,25299576,34037270,97576568,921696883.779500,1258942335.595999,1217305227.638500,3397944447.013999,378701,113243,342089,834033
2022-06-27,EDGA Equities (J),64147739,29534223,61551133,155233095,2109816843.898000,1584047845.666300,2121222655.758900,5815087345.323200,902767,224928,755716,1883411
2022-06-27,EDGX Equities (K),211176544,87607881,296899919,595684344,7027791992.014496,4982445986.821599,9397040107.447208,21407278086.283303,1943083,521910,1894189,4359182
2022-06-27,LTSE (L),34667,10116,18167,62950,1866236.160000,637629.350000,756084.266000,3259949.776000,420,113,245,778
2022-06-27,NYSE Chicago (M),5596185,6791942,7065228,19453355,487149010.741900,746427951.199300,1850956652.200500,3084533614.141700,42517,3674,35415,81606
2022-06-27,NYSE (N),991242568,36897149,73381648,1101521365,44258385806.124105,2464774892.145800,2657168502.349301,49380329200.619206,4443743,195902,620071,5259716
2022-06-27,NYSE Arca (P),221514095,297151410,418361736,937027241,7702652031.027902,18164246677.934901,14413730506.203897,40280629215.166700,2194400,1344995,3241461,6780856
2022-06-27,NASDAQ (Q),474366226,181703279,1069624976,1725694481,19622913877.107396,12735947370.013308,52533914349.449698,84892775596.570402,6441968,1376660,8816735,16635363
2022-06-27,Members Exchange (U),166724714,73132206,154571262,394428182,4181392941.298201,3931723665.756898,4406886757.809702,12520003364.864801,1441157,446398,1284097,3171652
2022-06-27,Investors Exchange (V),142023880,28826776,114351499,285202155,7442366193.522700,2143501823.962400,6356920002.583201,15942788020.068301,1933630,222697,1545342,3701669
2022-06-27,NASDAQ PSX (X),23321724,26628330,26150328,76100382,550496554.309800,1284650957.193000,946196272.928400,2781343784.431200,201172,124609,229710,555491
2022-06-27,BYX Equities (Y),62410553,29682205,51014054,143106812,1454433842.810600,1865038534.033099,1419496027.323100,4738968404.166799,624784,188243,522052,1335079
2022-06-27,BZX Equities (Z),210264206,130395572,193564113,534223891,7409687827.872399,9389209156.431098,8249031904.839599,25047928889.143096,2639066,946278,2221314,5806658
2022-06-24,NYSE American (A),19436456,152603507,15798345,187838308,611999639.762500,1257042367.861300,500570712.315000,2369612719.938800,206458,128918,156485,491861
2022-06-24,NASDAQ BX (B),27739995,17114255,29605034,74459284,1205231130.130400,1205192721.606900,1336528288.718000,3746952140.455300,591826,135599,509992,1237417
2022-06-24,NYSE National (C),55668855,33050152,39516352,128235359,1272774350.447800,1443930362.697100,970722660.797500,3687427373.942400,584858,183883,419379,1188120
2022-06-24,FINRA / Nasdaq TRF Chicago (DB),9030404,2540611,13549959,25120974,363898622.467500,125331681.680000,655676294.296100,1144906598.443600,38952,10748,54778,104478
2022-06-24,FINRA / NYSE TRF (DN),275490216,123087114,482020586,880597916,8829226290.602101,5333985108.996197,14465732484.495892,28628943884.094190,1435277,296894,1592403,3324574
2022-06-24,FINRA / Nasdaq TRF Carteret (DQ),2440303480,833054567,2841232958,6114591005,102756521582.978683,49711486713.188485,102061744402.919967,254529752699.087135,8127245,2149374,7747398,18024017
2022-06-24,MIAX Pearl (H),39341157,26332910,43302896,108976963,1013851625.983500,1367009819.941000,1352987837.574100,3733849283.498600,422401,125188,405436,953025
2022-06-24,EDGA Equities (J),88899515,39285782,71349133,199534430,3141437439.581100,2163192940.207200,2555937015.780500,7860567395.568800,1243834,281784,958887,2484505
2022-06-24,EDGX Equities (K),272615510,109371200,310826175,692812885,9559916716.033998,6082692935.891401,11660481014.616000,27303090666.541399,2461100,607550,2269594,5338244
2022-06-24,LTSE (L),101221,18703,26484,146408,3836437.650000,200914.930000,1018368.778700,5055721.358700,268,24,276,568
2022-06-24,NYSE Chicago (M),7338663,11718223,9246917,28303803,542337216.350200,1130972257.394600,1642575271.813900,3315884745.558700,49784,5165,43004,97953
2022-06-24,NYSE (N),3200159982,46956575,94165431,3341281988,115358055584.809289,3191817921.131301,3547295773.040998,122097169278.981588,5193689,222174,803155,6219018
2022-06-24,NYSE Arca (P),277273788,382988175,422904582,1083166545,10323149027.810297,24255800599.970169,16737302977.122602,51316252604.903068,2767526,1572591,3659725,7999842
2022-06-24,NASDAQ (Q),627752609,234222706,4397896870,5259872185,26659473284.654097,16737826646.922102,112167186053.800220,155564485985.376419,8080093,1633763,10755596,20469452
2022-06-24,Members Exchange (U),205319665,88360122,188859367,482539154,5520892490.367500,4805065034.693001,5467188713.614500,15793146238.675001,1847424,512673,1597673,3957770
2022-06-24,Investors Exchange (V),199162116,39918970,161430336,400511422,10154142634.580800,2851859907.971401,8439073957.247303,21445076499.799504,2523964,279680,2124117,4927761
2022-06-24,NASDAQ PSX (X),29010922,31955873,29712935,90679730,806299975.611500,1657958547.696800,1170099405.799400,3634357929.107700,274999,144396,293621,713016
2022-06-24,BYX Equities (Y),76458200,43621934,65194590,185274724,1908700552.319100,2653060056.376001,1936554139.191500,6498314747.886601,785053,251751,680585,1717389
2022-06-24,BZX Equities (Z),269159745,159905638,251491705,680557088,10056361729.521799,11238355254.052499,11618174626.382795,32912891609.957093,3310109,1069238,2765116,7144463
2022-06-23,NYSE American (A),18894712,26943928,13054894,58893534,564285760.447100,771612676.778300,460635565.289400,1796534002.514800,192494,120756,131640,444890
